lat,lon,alt
-117.235538389778,32.8810660312704,72.527
-117.235528715501,32.8810723986457,72.457
-117.235513607365,32.8810847644671,72.439
-117.235504189094,32.8811013376036,72.439
-117.23549897061,32.8811181968091,72.504
-117.235502245534,32.8811347624048,72.447
-117.235499433373,32.8811510731645,72.545
-117.235507877628,32.8811708822958,72.43
-117.235517334566,32.8811859709341,72.414
-117.235518292597,32.8812045076022,72.448
-117.235530333637,32.8812245939979,72.497
-117.235542118206,32.8812376263768,72.513
-117.235550198436,32.8812452499093,72.407
-117.23556075029,32.8812535127194,72.48
-117.235569504263,32.8812573428053,72.584
-117.235584330923,32.881259859621,72.392
-117.235594813159,32.8812663798314,72.165
-117.235612456012,32.8812688119076,72.122
-117.235625378861,32.8812703995181,72.107
-117.235651852236,32.8812709087841,72.108
-117.235681458965,32.8812699215976,72.085
-117.235709308842,32.8812721295031,72.108
-117.23576349104,32.8812692398726,72.121
-117.235797097667,32.8812707870382,72.36
-117.235839599713,32.8812696049,72.965
-117.235869119215,32.8812588974217,72.44200000000000000000
-117.235887224824,32.8812404579518,72.099
-117.235904557297,32.881223311613,72.176
-117.235912163416,32.8812105866113,72.176
-117.235917869962,32.8811790697301,72.171
-117.235915060205,32.8811612080346,72.048
-117.235918670086,32.8811377495183,72.105
-117.235912842134,32.88109535489,72.282
-117.235911207221,32.881080051082,72.34
-117.235899210045,32.88105818787,72.446
-117.235873142084,32.8810340555977,72.512
-117.235841786842,32.881023249225,72.565
-117.235806392182,32.8810194435111,72.599
-117.235781024334,32.8810142568358,72.719
-117.235735144813,32.8810218918503,72.902
-117.235704620699,32.8810153487606,73.403
-117.235672567185,32.8810151693621,73.646
-117.235633701038,32.8810170022335,73.566
-117.23560773835,32.8810195097935,73.507
-117.235580085494,32.8810429367856,73.598
-117.235555617224,32.8810624732011,73.451
-117.235538389778,32.8810660312704,73.435
